"species","clade","family","wingspan_cm","mass_kg","humerus_cm","ulna_cm","mc_iv_cm","wph1_cm","original_curvature","optimized_curvature","curvature_change","wing_area_cm2","wing_loading","aspect_ratio","stress_estimate","second_moment"
"Guidraco_venator","Ornithocheiromorpha","Ornithocheiridae",254,3.448,13.1,19.7,14.6,28.5,-0.08,0.07,0.15,1303.00075380251,259.592175225454,12.3783504751868,73.78366267095,2847882.51298904
"Liaoningopterus_gui","Ornithocheiromorpha","Ornithocheiridae",409,12.244,21,31.9,23.8,45.5,-0.08,0.07,0.15,3370.23638801666,356.395297454744,12.4086993270554,101.173979912517,18966949.9565248
"Brasileodactylus_araripensis","Ornithocheiromorpha","Ornithocheiridae",269.9,4.054,14.3,24.6,17.5,31.1,-0.08,0.07,0.15,1505.94711869154,264.084571804583,12.0930557746432,75.940770971037,3689981.32845409
"Maaradactylus_kellneri","Ornithocheiromorpha","Ornithocheiridae",501.2,21.027,25.9,39.3,29.3,56.1,-0.08,0.07,0.15,5124.19517561818,402.550767350729,12.2556533948619,114.987974449642,43813946.0020204
"Anhanguera_piscator","Ornithocheiromorpha","Ornithocheiridae",455.8,16.334,22.1,34.8,26.9,55.7,-0.08,0.07,0.15,3883.90282860143,412.565780019013,13.3727367269646,112.819210326881,30082610.3046198
"Anhanguera_spielbergi","Ornithocheiromorpha","Ornithocheiridae",505.4,21.499,16.9,28.3,22,44.2,-0.08,0.07,0.15,2590.86491214106,814.033912041021,24.6470936021242,163.968204274703,13242821.2518452
"Tendaguripterus_recki","Dsungaripteroidea","Germanodactyloidea",100.9,0.296,9.7,13.3,14.8,18.4,0.1,0.25,0.15,615.831193259337,47.1518823954274,4.13295482245599,23.1936290156399,564250.606588612
"Noripterus_complicidens","Dsungaripteroidea","Dsungaripteridae",196.2,1.735,8.4,11.9,16.1,18.2,0.1,0.25,0.15,832.556362007296,204.434807980614,11.5591093157915,60.1302012249363,870198.826478148
"Noripterus_parvus","Dsungaripteroidea","Dsungaripteridae",184.4,1.47,11,14.7,13.9,20.1,0.1,0.25,0.15,1126.79859342901,127.979392981985,7.54424086928498,46.5942443604393,1265286.90154275
"Dsungaripterus_weii","Dsungaripteroidea","Dsungaripteridae",321.2,6.438,16.8,22.4,32.4,38.8,0.1,0.25,0.15,2665.03186696258,236.983207529079,9.67806813859843,76.1768895434859,8961760.52160781
"Domeykodactylus_ceciliae","Dsungaripteroidea","Dsungaripteridae",239.2,2.939,12.1,16.5,23.3,27.4,0.1,0.25,0.15,1497.07615813198,192.585993994958,9.554731015053,62.3039335717154,2818269.03114887
"Chaoyangopterus_zhangi","Azhdarchoidea","Chaoyangopteridae",182,1.421,10.5,14.6,22.5,22.5,0.06,0.21,0.15,2322.55846964661,60.0200605589966,3.56546459786651,31.7861819448158,3091888.6783585
"Shenzhoupterus_chaoyangensis","Azhdarchoidea","Chaoyangopteridae",125.6,0.53,6.6,10.5,14.7,14.7,0.06,0.21,0.15,1211.00919290376,42.933612977232,3.25665570757846,23.7909351552857,740567.41767232
"Jidapterus_edentus","Azhdarchoidea","Chaoyangopteridae",169.1,1.169,8,12.9,14.9,17.9,0.06,0.21,0.15,711.767683866971,161.118441591728,10.0435895897405,50.8394418126533,517740.216298273
"Lacusovagus_magnificens","Azhdarchoidea","Chaoyangopteridae",439.8,14.854,29.4,43.9,55.6,57.9,0.06,0.21,0.15,11676.3199538938,124.797659344207,4.14137418218609,61.3245265695991,103441589.50691
"Apatorhamphus_gyrostega","Azhdarchoidea","Chaoyangopteridae",331.8,7.019,19.4,29,36.8,38.3,0.06,0.21,0.15,5103.03432847611,134.932249261514,5.39342050795472,58.1010015462218,19772883.8448765
"Xericeps_curvirostris","Azhdarchoidea","Azhdarchidae",385.2,10.439,21.7,35.1,45.4,50.4,0.06,0.21,0.15,4633.69749733553,221.004047111159,8.00543410987236,78.1102059793647,23753961.0914029
"Leptostomia_begaaensis","Azhdarchoidea","Azhdarchidae",98.4,0.277,5.3,8.7,12,13.2,0.06,0.21,0.15,308.650097365276,88.0404711741948,7.84266721657716,31.437678227642,104556.327994475
"Alanqa_saharica","Azhdarchoidea","Azhdarchidae",609.6,35.397,32.5,53.7,73.9,81.4,0.06,0.21,0.15,11722.0642258529,296.231587977615,7.92548464246622,105.224883180979,150141665.943126
"Argentinadraco_barrealensis","Azhdarchoidea","Azhdarchidae",235,2.804,13.5,21.9,28.3,31.4,0.06,0.21,0.15,1791.77089000543,153.519850966642,7.70536572338117,55.3054476342054,3564133.66410025
"Aralazhdarcho_bostobensis","Azhdarchoidea","Azhdarchidae",301.8,5.455,17.3,27.7,36,39.7,0.06,0.21,0.15,2880.0103565706,185.810269320426,7.90650281796713,66.0811356126949,9203638.88945624
"Eurazhdarcho_langendorfensis","Azhdarchoidea","Azhdarchidae",214.4,2.197,14.6,23.4,25.6,24.8,0.06,0.21,0.15,1719.91298128406,125.311979353218,6.68164036497962,48.4787085309789,2829120.12967239
"Phosphatodraco_mauritanicus","Azhdarchoidea","Azhdarchidae",317.4,6.238,28.9,46.3,60.2,66.4,0.06,0.21,0.15,8051.23953496264,76.0066567815561,3.12817546796748,42.9740294596516,71956460.3779413
"Wellnhopterus_brevirostris","Azhdarchoidea","Azhdarchidae",308.9,5.801,17.8,27.4,34.9,43.5,0.06,0.21,0.15,2779.07979122168,204.772134214194,8.5837055040127,69.8929630084979,8886996.65008528
"Zhejiangopterus_linhaiensis","Azhdarchoidea","Azhdarchidae",272,4.137,13.7,23.4,33.6,32.2,0.06,0.21,0.15,2177.70917695887,186.360834722085,8.4933287675397,63.9463380571318,5418494.43201901
"Mistralazhdarcho_maggii","Azhdarchoidea","Azhdarchidae",460,16.737,27.6,44.6,40,65,0.06,0.21,0.15,6927.25473335181,237.020257403693,7.6365027758123,85.770552660497,50077100.4208786
"Aerotitan_sudamericanus","Azhdarchoidea","Azhdarchidae",511.6,22.208,28.9,46.2,60.1,66.3,0.06,0.21,0.15,8038.50070933153,271.021286030485,8.14003038203891,94.9927343178232,71624527.4385258
"Azhdarcho_lancicollis","Azhdarchoidea","Azhdarchidae",302.2,5.474,17,27.4,36.8,39.9,0.06,0.21,0.15,2844.07074328106,188.813657771569,8.02765193303906,66.6406368443432,9109352.2863482
"Cryodrakon_boreas","Azhdarchoidea","Azhdarchidae",971.6,122.311,44.7,92.2,102.5,132.2,0.06,0.21,0.15,29997.7717672777,399.986678780205,7.86730567293124,142.604265327689,963077097.000892
